aH,sH,aC,sC,aN,sN
0.45276726484298707,1.168835663795471,3.114554786682129,1.0793625116348267,8.493419075012207,4.1999774932861325
0.4568255126476288,1.162934374809265,3.09925537109375,1.062839102745056,8.521177101135255,4.257328701019287
0.4611231744289398,1.1601739645004272,3.08217339515686,1.0446123838424684,8.546692276000977,4.308357906341553
0.4646114885807037,1.1594430923461914,3.064807319641113,1.0296131372451782,8.569002723693847,4.354592609405517
0.46626723408699033,1.1628257751464843,3.0467838287353515,1.017348861694336,8.585601425170898,4.393189334869385
0.46627610325813296,1.1674930095672607,3.0244925022125244,1.0044602274894714,8.595601463317871,4.431141948699951
0.46690446734428404,1.1703007698059082,3.001193571090698,0.9908922195434571,8.60654296875,4.473297214508056
0.46853824853897097,1.1705679893493652,2.9713784217834474,0.9753920435905457,8.608720207214356,4.525985050201416
0.4719919502735138,1.165933895111084,2.935005760192871,0.9599064469337464,8.604014205932618,4.562963771820068
0.4699874520301819,1.1558688640594483,2.884769010543823,0.9485470533370972,8.597057342529297,4.593523597717285
0.46906051635742185,1.144910955429077,2.810399389266968,0.9362897753715516,8.640895080566406,4.655973720550537
0.47192400097846987,1.1354557752609253,2.7385215282440187,0.9232188820838928,8.681884956359863,4.701173591613769
0.4742754399776459,1.1285410881042481,2.6786059379577636,0.9119815230369568,8.720245361328125,4.755690479278565
0.4756213784217834,1.1286654233932496,2.644322633743286,0.9018693685531616,8.759199333190917,4.813164615631104
0.4769704878330231,1.1353856086730958,2.623665618896484,0.8913693785667419,8.786354637145996,4.867519760131836
0.47823110818862913,1.149721050262451,2.6044852256774904,0.8778173446655273,8.809270668029786,4.883041000366211
0.4779530465602875,1.1692578792572021,2.560452461242676,0.8595155596733093,8.823996353149415,4.8900707244873045
0.4773607552051544,1.1861401796340942,2.5110511779785156,0.8408849835395813,8.832103538513184,4.922287559509277
0.4788857400417328,1.202670407295227,2.4900278568267824,0.8227537751197815,8.831804084777833,4.977350425720215
0.48004382848739624,1.2273103952407838,2.4775150775909425,0.8030823111534119,8.824720573425292,5.038231372833252
0.47958244681358336,1.2642207145690918,2.4738090515136717,0.7818068385124206,8.821343994140625,5.071292495727539
0.4772042453289032,1.316282606124878,2.4883245468139648,0.7569157481193542,8.811985397338868,5.069706916809082
0.4759962856769562,1.3836443662643432,2.541098928451538,0.7296537399291992,8.761153030395509,5.039099407196045
0.46774318218231203,1.439720368385315,2.569867420196533,0.7026400685310363,8.696812057495118,4.9942034721374515
0.4516208052635193,1.4854475021362306,2.5611579418182373,0.6749414086341858,8.639352416992187,4.954199123382568
0.4321938931941986,1.531879758834839,2.525700569152832,0.6493498921394348,8.58497486114502,4.860812664031982
0.40964006781578066,1.5565757989883422,2.5139729976654053,0.6314181804656982,8.53131275177002,4.796195793151855
0.38475799560546875,1.5712064266204835,2.505715036392212,0.6164970397949219,8.47158317565918,4.744088077545166
0.3613057553768158,1.564628791809082,2.4936819553375242,0.6032135963439942,8.433526039123535,4.742002677917481
0.3412328243255615,1.549953007698059,2.4754029750823974,0.5910061359405517,8.37436809539795,4.747849464416504
0.3163117289543152,1.5419468879699707,2.490181732177734,0.571990430355072,8.300139427185059,4.737468433380127
0.29106237888336184,1.5687981605529786,2.5183377265930176,0.5510937452316285,8.220290565490723,4.6518630027771
0.26270110011100767,1.564337921142578,2.5590359687805178,0.5417838215827941,8.164174461364746,4.620104122161865
0.22872918248176574,1.5438542366027832,2.610238265991211,0.5362958550453186,8.118935775756835,4.564842224121094
0.19831413626670838,1.5258776426315308,2.7139596462249758,0.5464797616004944,8.047077178955078,4.474882507324219
0.1803354561328888,1.4699416637420655,2.892766809463501,0.5946158170700073,7.985585308074951,4.398966979980469
0.1669662833213806,1.3827609777450562,2.9376800537109373,0.6527506113052368,7.951355743408203,4.344516849517822
0.15940480828285217,1.2989805936813354,2.926642560958862,0.7176272153854371,7.90255823135376,4.264185428619385
0.15613150000572204,1.2237287759780884,2.872702407836914,0.7615481972694397,7.853375434875488,4.1754021644592285
0.1540720283985138,1.1820008277893066,2.774907922744751,0.7897917032241821,7.8544574737548825,4.078579902648926
0.15572171807289123,1.1814799785614014,2.7073933124542235,0.8009474277496338,7.831550598144531,3.9746787548065186
