aH-fold_1,aH-fold_2,aH-fold_3,aH-fold_4,aH-fold_5,sH-fold_1,sH-fold_2,sH-fold_3,sH-fold_4,sH-fold_5,aC-fold_1,aC-fold_2,aC-fold_3,aC-fold_4,aC-fold_5,sC-fold_1,sC-fold_2,sC-fold_3,sC-fold_4,sC-fold_5,aN-fold_1,aN-fold_2,aN-fold_3,aN-fold_4,aN-fold_5,sN-fold_1,sN-fold_2,sN-fold_3,sN-fold_4,sN-fold_5
0.48783696,0.4654417,0.48364097,0.4704227,0.47946146,1.2009013,1.1550273,1.1804032,1.2593141,1.1350551,2.6266518,2.4877763,2.3917649,2.541448,2.5076149,0.82984877,0.8397547,0.8300915,0.8613494,0.8433806,8.7779875,8.850171,8.79228,8.922314,8.817765,4.8711214,5.0868163,4.8263474,4.906896,4.9202566
0.4896114,0.4672137,0.48680407,0.47069627,0.48010328,1.2150251,1.173574,1.2041898,1.267197,1.1533662,2.580475,2.4630601,2.3784359,2.5328972,2.495271,0.81185216,0.8218554,0.81233263,0.84291744,0.8248112,8.781709,8.851747,8.789219,8.922208,8.814138,4.921773,5.1463184,4.867962,4.9741454,4.9765534
0.48930883,0.46768004,0.48703402,0.47268805,0.4835082,1.2356694,1.2014955,1.2355688,1.2827332,1.1810851,2.5414557,2.452776,2.368523,2.5338576,2.4909632,0.79316527,0.80253994,0.79307204,0.82084876,0.80578554,8.779131,8.846367,8.781047,8.914815,8.802243,4.976454,5.2127743,4.9169188,5.0464,5.03861
0.48758096,0.46761692,0.48888856,0.47143435,0.48239145,1.2640551,1.2447169,1.2791135,1.3101319,1.2230861,2.511655,2.4503028,2.3693714,2.5426428,2.495073,0.77274454,0.7812993,0.77312624,0.7957797,0.7860844,8.779254,8.844361,8.776533,8.912313,8.794258,5.003892,5.2483087,4.947673,5.086864,5.069725
0.48501647,0.46697605,0.48804635,0.46776497,0.4782174,1.3054212,1.3076743,1.3344725,1.3536372,1.2802078,2.5024364,2.464459,2.3883939,2.5664914,2.5198421,0.7490002,0.7565121,0.7507793,0.76361805,0.7646691,8.773643,8.836295,8.764424,8.905135,8.78043,4.9957185,5.2472124,4.949504,5.0881114,5.0679884
0.4834532,0.46784002,0.4871964,0.46507236,0.47641945,1.3641537,1.3827353,1.3989711,1.4179401,1.3544216,2.5403714,2.5263352,2.4396737,2.6182692,2.580845,0.7237053,0.72871655,0.7275849,0.7259348,0.74232715,8.731095,8.787978,8.710371,8.854616,8.7217045,4.9594107,5.2106442,4.9268875,5.059398,5.0391564
0.47327697,0.46188968,0.47864032,0.4575152,0.46739373,1.420747,1.4416723,1.4497613,1.4715273,1.4148939,2.5547566,2.559419,2.4655797,2.6506813,2.6189005,0.6999912,0.70150816,0.70239395,0.6893753,0.7199317,8.675843,8.727312,8.64689,8.787593,8.646422,4.908705,5.159468,4.887932,5.016645,4.998267
0.4552616,0.44604528,0.4603297,0.44792107,0.44854638,1.4707853,1.4877347,1.4912143,1.5162253,1.461278,2.5305738,2.5420442,2.4642837,2.6562111,2.6126769,0.67305684,0.6720077,0.6776638,0.65931535,0.6926634,8.625544,8.672861,8.590485,8.723673,8.5842,4.863264,5.115286,4.854169,4.9772863,4.9609904
0.43620926,0.42768055,0.4372915,0.43084362,0.42894453,1.5218004,1.533226,1.5296873,1.5684578,1.5062273,2.484084,2.514113,2.4391935,2.6177363,2.5733762,0.6483581,0.64504325,0.654622,0.6323273,0.66639876,8.575801,8.621033,8.538743,8.663017,8.52628,4.767617,5.0109167,4.774638,4.8785067,4.8723845
0.41447031,0.40657705,0.4122241,0.4091346,0.40579426,1.5503232,1.5560825,1.5483972,1.5966775,1.5313985,2.471571,2.5078316,2.4250257,2.603813,2.5616238,0.630249,0.62744296,0.63749737,0.6136941,0.6482075,8.526492,8.569457,8.486844,8.601072,8.472698,4.7020874,4.939245,4.7211447,4.8110685,4.807433
0.3909229,0.38170177,0.38547248,0.38598427,0.37970856,1.570459,1.56757,1.560814,1.6113498,1.5458393,2.4643493,2.5064492,2.4115183,2.5936553,2.552603,0.6147684,0.61370397,0.62228507,0.5976944,0.6340334,8.470497,8.51301,8.425976,8.533336,8.415097,4.6513915,4.881265,4.6756525,4.757792,4.754339
0.3674296,0.35843098,0.36014682,0.36464772,0.35587364,1.5698119,1.5605069,1.5546211,1.6005111,1.5376929,2.449703,2.5067306,2.3977451,2.5738056,2.5404255,0.6018481,0.60054374,0.6085019,0.58350694,0.62166727,8.4355955,8.477917,8.386907,8.4895525,8.377659,4.646364,4.881461,4.6755886,4.756983,4.7496166
